text,label
"We will closely observe post-operative hemodynamics, particularly for any signs that could indicate emergent [ENTITY]CHF[/ENTITY].",Hypothetical
"Follow-up plans include monitoring for signs of [ENTITY]diabetic[/ENTITY] nephropathy, although none were present at discharge, with a serum creatinine of",Absent
"H/O acute coronary syndrome (ACS, unstable angina, coronary ischemia)    Assessment:    Known hx of  [entity] CAD [entity] , prior CABG, Prior stent/PTCA, bp 131/60, hr 66 sr, pt    intubated electively for severe PTSD    Action:    Angio site clean dry intact no bleeding from site, pt received lasix    80mg and acetylcysteine 600mg creat pre procedure 1.",Present
We will monitor cardiac enzymes and ECG closely; any worsening dyspnea could signal potential [ENTITY]diastolic dysfunction[/ENTITY].,Hypothetical
"No f/c/s/n/v/d, no changes in voice, difficulty swallowing, hearing,  [entity] dizziness [entity] , vertigo, diplopia, blurry vision, headache, or head trauma.",Absent
The patient's anticoagulant was discontinued due to low bleeding risk; there's no documented [ENTITY]cerebrovascular event[/ENTITY] history.,Absent
[entity] Tonsillectomy [entity] .,Present
"Given the diagnosis of [ENTITY]systolic dysfunction[/ENTITY], we will initiate beta-blocker therapy and monitor for signs of improvement.",Present
The patient's lower extremity  [entity] edema [entity]  decreased with the administration of intravenous and then subsequently p.,Present
"37/46/103/25/0    Physical Examination    General Appearance: No(t) Well nourished, No(t) Overweight /  [entity] Obese [entity] ,    Thin, No(t) Anxious, No(t) Diaphoretic, markedly cachexic    Eyes / Conjunctiva: No(t) PERRL, No(t) Pupils dilated, No(t)    Conjunctiva pale, No(t) Sclera edema, pupils small and constrict    sluggishly.",Absent
"The patient is being monitored for sepsis, but there's no evidence of [ENTITY]community-acquired pneumonia[/ENTITY] on chest X-ray or clinical presentation.",Absent
"Following prolonged ventilation, the patient was diagnosed with [ENTITY]COPD[/ENTITY], complicated by barotrauma and pneumothorax requiring chest tube placement.",Present
"Cardiac: The patient presented with shortness of breath, however, there is absence of [ENTITY]systolic dysfunction[/ENTITY] and cardiac enzymes were normal, considering other etiologies.",Absent
"Follow-up post-concussion, with resolution of symptoms, and no further indications of a delayed [ENTITY]neurological event[/ENTITY] identified on serial examinations.",Absent
Patient with a history of [ENTITY]emphysema[/ENTITY] requires oxygen therapy at,Present
"Blood cultures show no growth, therefore [ENTITY]bacteremia[/ENTITY] has been determined to be extremely unlikely, and outpatient follow-up is sufficient.",Absent
"Lab results were negative for D-dimer, and the patient was not experiencing any [ENTITY]PE[/ENTITY]-related symptoms.",Absent
"[**Known lastname 52368**] is a 59M w HepC cirrhosis c/b grade I/II esophageal varices and  [entity] portal gastropathy [entity]  (last EGD [**3-/2150**]), who p/w coffee-ground emesis and melena x2 days.",Present
"During the hospital stay, the patient was diagnosed with [ENTITY]severe sepsis[/ENTITY] secondary to a suspected central line infection.",Present
"[**2185-5-23**] 11:38 AM  CHEST (PORTABLE AP)                                             Clip # [**Clip Number (Radiology) 60431**]  Reason: please eval for interval change  Admitting Diagnosis: ASTHMA-COPD EXACERBATION  ______________________________________________________________________________  [**Hospital 2**] MEDICAL CONDITION:         39 year old man with Prader Willi  and OSA presents with  [entity] hypercarbic   respiratory failure, [entity]  now improving  REASON FOR THIS EXAMINATION:   please eval for interval change  ______________________________________________________________________________                                  FINAL REPORT  AP CHEST 11:04 A.",Present
"Telemetry monitoring revealed recurrent episodes of [ENTITY]atrial fibrillation[/ENTITY] with associated symptoms, necessitating adjustment of the anticoagulation regimen.
Note Type: ICU/Transfer Note
Section: Cardiovascular Status
Target Entity: atrial fibrillation
---",Present
Any unexpected decline in mentation or motor function will be investigated as a possible [ENTITY]neurological event[/ENTITY] affecting airway control.,Hypothetical
The presence of subcutaneous hematoma raises suspicion for a future [ENTITY]temperature elevation[/ENTITY] from localized inflammation.,Hypothetical
"The patient's presentation is most likely medication-related, and we find no evidence of [ENTITY]an infectious etiology[/ENTITY] to explain her current symptoms.",Absent
"SKIN: No stasis dermatitis, ulcers,  [entity] scars [entity] , or xanthomas.",Absent
"5), Hypertension, Severe AS,  [entity] dementia [entity] , PVD, Anemia (baseline hematocrit 32-34) ;postop A Fib",Present
"CARDIAC RISK FACTORS: + Diabetes, + Dyslipidemia, +  [entity] Hypertension [entity]  2.",Present
"Given the recent sinus infection and persistent congestion, we will monitor for the potential development of [ENTITY]migraine-like head pain[/ENTITY] upon discharge.",Hypothetical
"While the patient experienced a recent upper respiratory infection, he affirms that he's had complete resolution of symptoms, with no present [ENTITY]complaints of dyspnea[/ENTITY].",Absent
"The operative findings did not reveal any evidence suggestive of [ENTITY]heart failure[/ENTITY], with the patient maintaining stable hemodynamics throughout the procedure.",Absent
[entity] Cellulitis [entity] .,Present
Follow-up appointment is scheduled in one week to assess risk of [ENTITY]bleeding[/ENTITY] complications after recent surgery.,Present
"Given reported irritability, exploring differential diagnoses, though [ENTITY]major depression[/ENTITY] is less likely considering consistent mood stability per mood logs.",Absent
"Vitals remain within normal limits, and physical examination reveals no signs or symptoms suggestive of [ENTITY]encephalopathy[/ENTITY] or other neurological deficits.",Absent
"He was admitted to surgery and started on IVF for resuscitation for deh [entity] ydration, w [entity] eakness and elevated Lactate.",Present
"The clinical assessment indicates that the patient is without [ENTITY]COPD[/ENTITY], but has been experiencing persistent cough and is being worked up for possible malignancy.
Note Type: Admission Note
Section: History of Present Illness
Target Entity: COPD
Negation: TRUE
---",Absent
She had appropriate reticulocytosis to 22% in the setting of her  [entity] anemia [entity] .,Present
"The patient's vitals were stable, with no [ENTITY]high blood pressure[/ENTITY] noted, and oxygen saturation remained above",Absent
"On admission, the pt was a [entity] febrile [entity]  and hypertensive to 180-200.",Present
"The assessment indicates that the patient's [ENTITY]COPD[/ENTITY] is contributing to their hypoxemia, with a current oxygen saturation of",Present
"Increased size of right frontal, right temporal, and  [entity] interhemispheric subarachnoid hemorrhage [entity] .",Present
"Inspection of the surgical site reveals no indication of [ENTITY]dermatitis[/ENTITY], erythema, or other signs of inflammation; the wound remains clean and dry.",Absent
"Although family history is significant for hypertension and hyperlipidemia, there's absolutely no family history of [ENTITY]diabetes mellitus[/ENTITY] reported by the patient.",Absent
"The non-contrast CT shows a hyperdense lesion consistent with an acute [ENTITY]hemorrhagic stroke[/ENTITY] in the right temporal lobe with mass effect.
Note Type: Radiology Report
Section: Findings
Target Entity: hemorrhagic stroke
---",Present
Interval removal of multiple lines and tubes without  [entity] pneumothorax [entity] .,Absent
No evidence of  [entity] abdominal abscess [entity]  or pseudocyst.,Absent
"Despite concerns raised regarding possible TIA, there's [ENTITY]no indication of seizure activity[/ENTITY] based on clinical assessment and recent imaging.",Absent
Close monitoring of hemoglobin levels will be performed to assess for evidence of ongoing [ENTITY]blood loss[/ENTITY] in the postoperative period.,Present
[entity] GERD [entity]  12.,Present
"Post-operatively, the patient experienced [ENTITY]severe sepsis[/ENTITY] with hemodynamic instability and required intensive care management.",Present
"Schedule follow-up colonoscopy; patient states he is free from [ENTITY]a new cough[/ENTITY] after pneumonia resolution, blood pressure remains elevated at",Absent
"Given the patient's history of hypertension and recent stroke, we carefully assessed for, and found no evidence of, [ENTITY]lightheadedness[/ENTITY] or focal neurological deficits.",Absent
"The patient presents with acute kidney injury, but denies any history of [ENTITY]ESRD[/ENTITY] or need for dialysis in the past.",Absent
"Since then, he has been feeling well, no complaints of chest pain, SOB, abdominal pain, f/c/ns/weight loss,  [entity] headache [entity] , cough, increasing LE edema, PND, orthopnea.",Absent
She was given multiple listers of fluid and then developed hematemesis with  [entity] vomiting bright red blood and clots [entity] .,Present
"Given the recent invasive procedure, there's a slight risk the patient could develop a [ENTITY]fever[/ENTITY] in the next",Hypothetical
Echocardiogram unchanged; watchful waiting for any new [ENTITY]cephalic pain[/ENTITY] suggestive of dissection.,Hypothetical
"Despite presenting with polyuria, polydipsia, and fatigue, laboratory studies were unremarkable for [ENTITY]diabetes mellitus[/ENTITY] in this patient.",Absent
# Anthracycline-induced/ GVHD  [entity] cardiomyopathy [entity] :  EF <20% on echo from 2/[**2174**].,Present
"(-) [ENTITY]oliguria[/ENTITY] was documented in the patient's chart, with a recorded urine output of",Absent
[entity] Prematurity [entity]  at 34-2/7 weeks.,Present
Post-transfusion reaction could precipitate a coagulopathic [ENTITY]hemorrhage[/ENTITY]; careful monitoring is essential.,Hypothetical
Mild  interstitial pulmonary edema and  [entity] bibasal atelectasis [entity]  are unchanged.,Present
"CT OF THE PELVIS: The bladder appears filled with contrast, likely secondary to cath procedure and is displaced to the left by  [entity] pelvic extension [entity]  of retroperitoneal hematoma.",Present
"On    further review of symptoms, pt has been noticing increased bruising and    general  [entity] lethargy [entity]  for the last week.",Present
"The lung perfusion scan was performed, and it showed no indication of [ENTITY]lung clot[/ENTITY], correlating with the patient's improved oxygen saturation.",Absent
"Laboratory results showed no indication of [ENTITY]HTN[/ENTITY]-related kidney damage, with normal creatinine and eGFR values.",Absent
"On exam, no current lower extremity swelling, though patient remains at high risk for [ENTITY]peripheral edema[/ENTITY] secondary to chronic venous insufficiency.",Hypothetical
"Although the patient presented with syncope, extensive cardiac and neurological workup revealed [ENTITY]no evidence of a transient ischemic attack[/ENTITY] as a causative factor.",Absent
# [entity] hypokalemia [entity]  - K around 3.,Present
"Given the patient's history of hypertension and hyperlipidemia, stroke was considered, but repeated neurological exams and imaging failed to reveal any [ENTITY]cerebral infarction[/ENTITY].",Absent
His recent weight gain places him at a heightened risk for future [ENTITY]diabetes mellitus[/ENTITY].,Hypothetical
SPECT myocardial perfusion imaging shows evidence of [ENTITY]acute MI[/ENTITY] with a large area of ischemia in the anteroseptal wall.,Present
The development of [ENTITY]altered mental status[/ENTITY] in this patient with COVID-,Present
The underlying COPD puts the patient at significant vulnerability to acute [ENTITY]tussis[/ENTITY] episodes with minimal respiratory triggers.,Hypothetical
"Given recent exposure to a febrile individual, patient is at risk for [ENTITY]subsequent pyrexia[/ENTITY] within",Hypothetical
"History of prior stroke with residual hemiparesis, placing the patient at increased risk for future [ENTITY]balance issues[/ENTITY].",Hypothetical
"Fever ( [entity] Hyperthermia [entity] , Pyrexia, not Fever of Unknown Origin)    Assessment:    Pt s temp have remained low grade overnight.",Present
"A CT scan of the head was unremarkable, ruling out any structural abnormalities, and the patient continued to report complete lack of [ENTITY]nausea[/ENTITY].",Absent
There is no  [entity] mitral valve prolapse [entity] .,Absent
[entity] Pulmonary - Dyspnea [entity]  secondary to chronic obstructive pulmonary disease/emphysema under this hospital course.,Present
"The patient presents without evidence of [ENTITY]elevated BP[/ENTITY], despite having a complex medical history that includes coronary artery disease and hyperlipidemia.",Absent
High suspicion for residual inflammation post-bronchoscopy; vulnerable to developing a persistent [ENTITY]productive cough[/ENTITY].,Hypothetical
Patient denies current symptoms; potential for [ENTITY]cephalic pain[/ENTITY] remains high given recent head trauma.,Hypothetical
"We are watching for signs of ototoxicity, which could manifest as new or worsening [ENTITY]vertigo[/ENTITY].",Hypothetical
"Given recent travel history and mild fever, the patient is at risk for developing a progressive [ENTITY]tussis[/ENTITY] if symptoms worsen.",Hypothetical
"She denies recent fevers, chills or  [entity] rigors [entity] .",Absent
"Discharge Diagnosis: Primary: 1) Pulmonary Embolism with history of  [entity] DVT [entity]  and IVC filter placement in [**2106-7-8**] 2) Community Acquired Pneumonia 3) History of GI Bleed (extensive) in [**2106-7-8**] when anticoagulated 4) Abdominal wall hematoma, with acute blood loss anemia requiring 10 units PRBCs when anticoagulated for current pulmonary embolism 5) Noscomial Pneumonia with GNR in sputum, 6) Coagulopathy 7) Noscomial UTI with E.",Present
Small to moderate  [entity] pericardial effusion [entity] .,Present
"No [ENTITY]chest pain[/ENTITY] is present, patient reports no past history of angina, MI, or cardiac interventions.",Absent
"The discharge diagnosis includes [ENTITY]bacteremia[/ENTITY] complicated by septic shock, requiring vasopressor support and intensive care unit admission.",Present
"Laboratory results indicate [ENTITY]Wernicke's encephalopathy[/ENTITY] with confusion, ataxia, and ophthalmoplegia in the setting of chronic alcohol abuse.",Present
"Past Medical History: hypertension hyperlipidemia noninsulin dependent  [entity] Diabetes mellitus [entity]  Moderate aortic stenosis Chronic atrial fibrillation Congestive heart failure in past Coronary artery disease with percutaneous interventions in past Anxiety Cerbrovascular disease-60-70% bilateral carotid arteries H/O breast cancer, s/p right lumpectomy and radiation H/O cervical cancer, s/p hysterectomy and radiation appendectomy cholecystectomy H/O multinodular goiter S/P removal of a pylonidal cyst S/P bilateral carpal tunnel surgery S/P bone spur removal Osteoarthritis coccyx ulcer - stage IV",Present
No maternal  [entity] fever [entity]  or fetal tachycardia.,Absent
Diagnostic imaging reveals a [ENTITY]hemorrhagic stroke[/ENTITY] in the left occipital lobe with associated subarachnoid hemorrhage.,Present
"CAM assessments performed twice daily were negative for [ENTITY]delirium[/ENTITY], and the patient's cognitive status was attributed to baseline dementia.",Absent
"Esophagogastroduodenoscopy (EGD) was negative for any active bleeding or lesions, thereby effectively excluding [ENTITY]hematemesis[/ENTITY].",Absent
"Due to the patient's presentation of transient vision loss with no other neurological deficits, [ENTITY]cerebrovascular accident[/ENTITY] is not suspected, but further ophthalmological evaluation will be pursued.",Absent
Her history of NSAID use makes her prone to developing gastrointestinal [ENTITY]blood loss[/ENTITY].,Hypothetical
"Denies history of [ENTITY]hypertensive[/ENTITY] episodes or cardiovascular disease, with a preoperative blood pressure of",Absent
"Due to the patient's [ENTITY]delirium[/ENTITY], the family has been educated on safety measures and environmental modifications.",Present
"Attending:[**First Name3 (LF) 30**] Chief Complaint: hypotension,  [entity] fever [entity]  to 101",Present
"No(t) requiring [ENTITY]mechanical ventilation[/ENTITY], the patient was successfully weaned off supplemental oxygen and prepared for discharge home.
Note Type: Discharge Summary
Section: Hospital Course
Target Entity: mechanical ventilation
Negation: TRUE
---",Absent
[**Hospital **] transferred to Neonatology Service because of the development of medical necrotizing  [entity] enterocolitis [entity] .,Present
"Due to the development of [ENTITY]severe sepsis[/ENTITY], the patient's cardiovascular status became unstable with fluctuating blood pressures.",Present
"Patient presents with complaints of chronic fatigue, though evaluation revealed no [ENTITY]manifestation of respiratory impairment[/ENTITY] upon examination.
Note Type: Consultation Note
Section: Assessment
Target Entity: difficulty breathing
Negation: TRUE
---",Absent
"After thorough evaluation, the patient was found to be without [ENTITY]DM[/ENTITY], despite having polycystic ovary syndrome (PCOS).",Absent
"No [ENTITY]renal dysfunction[/ENTITY] was noted on review of systems, with labs showing a normal electrolyte panel and renal function tests.",Absent
He has also had issue with lower extremity cellulitis that has    been noted to poorly heal due to pt's poor  [entity] peripheral vascular    disease [entity] .,Present
"PNA  given  [entity] lactic acidosis [entity] , hypoxia and    leukocytosis.",Present
Assessment indicates that [ENTITY]diastolic dysfunction[/ENTITY] contributes to the patient's exertional dyspnea and reduced exercise tolerance.,Present
"HPI:    24 Hour Events:  MULTI LUMEN - START [**2150-4-17**] 08:00 PM    s/p 3 u pRBCs    mental status improved    off pressors    started abx for occult infection    Allergies:    No Known Drug Allergies    Last dose of Antibiotics:    Vancomycin - [**2150-4-17**] 10:14 PM    Ceftriaxone - [**2150-4-17**] 11:14 PM    Infusions:    Octreotide - 48 mcg/hour    Other ICU medications:    Other medications:    ppi 40 [**Hospital1 **]    octreotide gtt    Changes to medical and family history:    PMH,  [entity] SH [entity] , FH and ROS are unchanged from Admission except where noted    above and below    Review of systems is unchanged from admission except as noted below    Review of systems:    Flowsheet Data as of  [**2150-4-18**] 08:41 AM    Vital signs    Hemodynamic monitoring    Fluid balance                                                                   24 hours                                                                Since 12 AM    Tmax: 36.",Present
"Close observation for ascending [ENTITY]infectious process[/ENTITY] is crucial following the recent cystoscopy and urinary catheterization.
Note Type: Consultation Note
Section: Recommendations
Target Entity: infectious process
Hypothetical: TRUE
---",Hypothetical
"The patient's [ENTITY]AFib[/ENTITY] was controlled with medication, and the patient was discharged on anticoagulation therapy.",Present
"If the patient experiences any new-onset dizziness or [ENTITY]vertigo[/ENTITY], we will investigate the recent medication adjustment.",Hypothetical
#  [entity] Insomnia [entity] : continued on Ambien.,Present
"He was noted to have  [entity] eosinophilia [entity] , which improved over the course of his hospitalization.",Present
"The complex interplay between [ENTITY]COPD[/ENTITY] and cardiovascular disease is evident in this patient's presentation, requiring a multifaceted treatment approach.",Present
# Coumadin held on discharge -> we anticipate holding this medication for about a month while his gastritis heals with protection against  [entity] stroke [entity]  with aspirin 325mg and plavix 75mg in the interim.,Present
"Plan for serial Hgb monitoring, anticipating any potential [ENTITY]active bleeding[/ENTITY] following elective surgery today.",Hypothetical
Echocardiogram revealed reduced ejection fraction consistent with [ENTITY]congestive heart failure[/ENTITY] and severe left ventricular dysfunction.,Present
"HPI:    24 Hour Events:  MULTI LUMEN - START [**2150-4-17**] 08:00 PM    s/p 3 u pRBCs    mental status improved    off pressors    started abx for occult infection    Allergies:    No Known Drug Allergies    Last dose of Antibiotics:    Vancomycin - [**2150-4-17**] 10:14 PM    Ceftriaxone - [**2150-4-17**] 11:14 PM    Infusions:    Octreotide - 48 mcg/hour    Other ICU medications:    Other medications:    ppi 40 [**Hospital1 **]    octreotide gtt    Changes to medical and family history:    PMH, SH,  [entity] FH [entity]  and ROS are unchanged from Admission except where noted    above and below    Review of systems is unchanged from admission except as noted below    Review of systems:    Flowsheet Data as of  [**2150-4-18**] 08:41 AM    Vital signs    Hemodynamic monitoring    Fluid balance                                                                   24 hours                                                                Since 12 AM    Tmax: 36.",Present
"Despite reports of anorexia, she claims never to feel `[ENTITY]sick to stomach[/ENTITY]` and has not vomited.
Note Type: Consultation Note
Section: Reason for Consultation
Target Entity: sick to stomach
Negation: TRUE
---",Absent
"Past Medical History: - Downs Syndrome - MRSA Pneumonia complicated by tracheostomy [**10/2187**]   - reversed [**2188-5-13**] - C Diff Colitis - [**2188**] - Pseudomonas Colitis - [**2188**] - dx by colonoscopy, tx w cipro through G-tube - Adrenal Insufficiency - Seizure History, per sister this [**Name2 (NI) 89173**] with hospitalization in [**11-3**] - on keppra -  [entity] Hx transaminitis [entity]  - presumed to be secondary to antiepileptics - Hx of HBV - Membranoproliferative Glomerulonephritis",Present
"Given her history of nephrotic syndrome, there's a continued risk of generalized [ENTITY]puffiness[/ENTITY] that requires vigilant observation.",Hypothetical
"Patient tolerating PO intake well, displaying no signs of vomiting or [ENTITY]queasiness[/ENTITY], and therefore requires no scheduled antiemetics on discharge.",Absent
Intraoperative cultures were obtained to guide antibiotic therapy in the setting of suspected [ENTITY]sepsis[/ENTITY] with multi-organ dysfunction.,Present
"Should patient develop sudden severe abdominal pain, a [ENTITY]nauseous feeling[/ENTITY] would be a key indicator.",Hypothetical
"[**Known lastname **] 68 yr old male with history of MI developed worsening  [entity] chest pain [entity] , underwent cath which revealed significnat CAD.",Present
"The patient's respiratory status remained stable, not requiring [ENTITY]mechanical ventilation[/ENTITY], with a respiratory rate between",Absent
- GERD -  [entity] chronic R hemiparesis [entity]  - Blind in R eye from cataracts .,Present
Uncovertebral spurs appear to produce moderate left and prominent right foraminal  [entity] stenosis [entity] .,Present
"Seizure, without  [entity] status epilepticus [entity]     Assessment:    Pt s/p witnessed seizure in the ED.",Absent
There is no mitral valve  [entity] prolapse [entity]  or flail segments.,Absent
"[ENTITY]Bacteremia[/ENTITY] was identified as the primary cause of the patient's sepsis, with subsequent targeted antibiotic treatment.",Present
"Postoperative monitoring revealed that the patient was not in [ENTITY]septic shock[/ENTITY], as indicated by normal cardiovascular parameters and absence of organ dysfunction.
Note Type: Operative Report
Section: Complications
Target Entity: septic shock
Negation: TRUE
---",Absent
"The presence of carotid artery stenosis raises concern for future ischemic events, including [ENTITY]cerebral infarction[/ENTITY].",Hypothetical
"Advised patient on low-sodium diet, as they are vulnerable to developing [ENTITY]high blood pressure[/ENTITY].",Hypothetical
"The neck is supple with no jugular venous distention, no  [entity] bruits [entity] , carotid pulses are 2+ bilaterally.",Absent
"EKG unremarkable for acute ST changes; furthermore, the patient denies any recent episodes of [ENTITY]dyspnea[/ENTITY] or palpitations.",Absent
"In the ED, he was treated with 2L NS for concern of hypovolemic  [entity] hyponatremia [entity] .",Present
"Pt specifically denies any [ENTITY]head pain[/ENTITY], nausea, or vomiting in the last",Absent
The clinical team documented that the patient was not experiencing [ENTITY]irregular rhythm[/ENTITY] at any point during the,Absent
"The patient will be treated for [ENTITY]sepsis[/ENTITY] with a combination of meropenem and vancomycin, adjusted based on culture results.",Present
"In light of the patient's [ENTITY]elevated BP[/ENTITY] and family history of cardiovascular disease, aggressive blood pressure management is warranted.",Present
"Despite prophylactic anticoagulation, the postoperative patient was diagnosed with [ENTITY]PE[/ENTITY] on postoperative day seven.",Present
"Given family history and recent stressors, monitor for emergent [ENTITY]depression[/ENTITY] with gradual onset.",Hypothetical
Instructed patient to report any new onset of [ENTITY]balance issues[/ENTITY] to prevent falls.,Hypothetical
"Postoperative [ENTITY]disorientation[/ENTITY] was documented, associated with hypoxia and required supplemental oxygen therapy and close observation.",Present
S/he denies  [entity] exertional buttock [entity]  or calf pain.,Absent
"76 year old female, morbidly obese with history of severe COPD,    diastolic CHF, OSA who presented to [**Hospital1 54**] [**Location (un) 1415**] with  [entity] SOB [entity] , admitted    for COPD exacerbation.",Present
#  [entity] Pressure ulcers [entity] .,Present
"The assessment indicates that the patient's [ENTITY]congestive heart failure[/ENTITY] is refractory to current treatment, necessitating consideration of advanced therapies.",Present
Patient with history of COPD presented for routine check-up; reports absolutely no recent episodes of [ENTITY]trouble breathing[/ENTITY].,Absent
"Despite a history of COPD, the patient exhibits clear lung sounds bilaterally with no [ENTITY]air hunger[/ENTITY] reported or observed during speech.",Absent
The patient's immunocompromised status after chemotherapy places them at a higher vulnerability for [ENTITY]sepsis[/ENTITY] if any infection develops.,Hypothetical
"Given history of pulmonary fibrosis, there's a significant risk of [ENTITY]shortness of breath[/ENTITY] with exertion.",Hypothetical
"Patient presents alert and oriented, reporting no fever or chills, and specifically denies any [ENTITY]presence of abdominal pain[/ENTITY] upon direct questioning.",Absent
"(-) [ENTITY]acute MI[/ENTITY] was documented on the preoperative evaluation, with a normal stress test within the last",Absent
"She denies dietary indiscretion, recent illnesses, fevers, chills,  [entity] cough [entity] , sputum production, or other symptoms.",Present
"Despite the patient's history of GERD, he denied any [ENTITY]retrosternal pain[/ENTITY] or acid reflux following the endoscopy.",Absent
Watch for any dyspnea or pleuritic chest pain that might indicate a [ENTITY]pneumonic process[/ENTITY] evolving.,Hypothetical
"Following prolonged ventilation, the patient developed [ENTITY]delirium[/ENTITY] with fluctuating levels of consciousness and confusion.",Present
"Right calcaneus fracture, intra-articular 2)	Persistent agitated  [entity] delirium [entity]  ?",Present
"IMP:56 y/o with ETOH cirrosis and  [entity] end-stage liver disease [entity]  who presented to OSH from rehab with hypotension, melena .",Present
"Differential diagnoses considered included infectious sources; however, the patient has not displayed any [ENTITY]pyrexia[/ENTITY] after",Absent
OTHER PAST MEDICAL HISTORY: -Occult SBE with aortic valve vegetation -Severe pHTN -Severe PVD s/p multiple vascular surgeries -Rt Fem-[**Doctor Last Name **] bypass -Rt CEA following  [entity] CVA [entity]  prior to [**2173**] -Lt CEA following TIA [**2173**] -Stenting of LCx DPromus [**Name Prefix (Prefixes) **] -[**Last Name (Prefixes) **] of Prox/Mid LAD with Promus Stent,Present
"Initial assessment revealed the patient was not in [ENTITY]heart failure[/ENTITY], as evidenced by clear lungs on auscultation and a normal chest radiograph.",Absent
Morphine Concentrate 20 mg/mL Solution Sig: Fifteen (15) mg PO Q2H (every 2 hours) as needed for  [entity] pain [entity] .,Present
"The location of some of these foci at the [**Doctor Last Name 352**]-white matter interface is concerning for diffuse axonal injury CT Cspine - No fracture or traumatic malalignment in the cervical spine CT torso - Extensive  [entity] pulmonary contusions [entity] , worse on the right than the left.",Present
"The patient developed [ENTITY]disorientation[/ENTITY] following anesthesia, which resolved gradually over the subsequent",Present
"He sat down and then developed  [entity] chest pain [entity] , took a nitro with relief.",Present
"Despite a history of hypertension and CAD, the patient explicitly denies experiencing any chest pain, palpitations, or other symptoms concerning for [ENTITY]CHF[/ENTITY] this week.",Absent
Consider the potential for [ENTITY]major depression[/ENTITY] if patient reports anhedonia amidst ongoing physical therapy.,Hypothetical
Status post  [entity] MI [entity]  in [**2129**].,Present
"The patient attributed his shortness of breath to COPD exacerbation; he reported a complete lack of [ENTITY]angina[/ENTITY], even during periods of exertion.",Absent
also with large  [entity] left inguinal hernia [entity] .,Present
Prophylactic antibiotics are being considered to mitigate the risk of a post-surgical [ENTITY]fever[/ENTITY] developing.,Hypothetical
"Following a thorough assessment, the patient does not meet the criteria for [ENTITY]pulmonary embolism[/ENTITY], and alternative diagnoses are being explored for the presenting symptoms.
Note Type: Admission Note
Section: Plan
Target Entity: pulmonary embolism
Negation: TRUE
---",Absent
"H/O acute coronary syndrome ( [entity] ACS [entity] , unstable angina, coronary ischemia)    Assessment:    Known hx of CAD, prior CABG, Prior stent/PTCA, bp 131/60, hr 66 sr, pt    intubated electively for severe PTSD    Action:    Response:    Plan:",Present
Past Medical History: #  [entity] Diabetes [entity]  # Dyslipidemia # Hypertension # Coronary Disease - s/p NSTEMI [**9-16**] medically managed and Cath s/p stent in [**3-20**].,Present
Monitor closely for neurological deficits that could indicate nascent [ENTITY]CVA[/ENTITY] in this patient with severe carotid stenosis.,Hypothetical
"The operative report noted that the patient denies experiencing [ENTITY]septic shock[/ENTITY] during the recovery phase, despite having a history of sepsis.",Absent
"The risk of systemic [ENTITY]inflammation[/ENTITY] remains, especially if the antibiotic regimen is prematurely discontinued by the patient.
Note Type: Discharge Summary
Section: Discharge Medications
Target Entity: inflammation
Hypothetical: TRUE",Hypothetical
"c/o of    some dizziness at times,but attributes her falls to  [entity] decreased vision  [entity]    (has a history of cataracts s/p two surgeries on the right, many years    ago) and is also supposed to ambulate with a walker, but doesn't always    comply.",Present
"Given his recent aspiration event, we remain vigilant for signs that might indicate a [ENTITY]lung infection[/ENTITY].",Hypothetical
"Lower extremity examination reveals no evidence of [ENTITY]pedal edema[/ENTITY], despite patient's history of CHF and hypertension.",Absent
"The patient's postoperative course was notable for the absence of [ENTITY]COPD[/ENTITY] exacerbation or respiratory failure, with normal oxygen requirements and respiratory status.
---
Note Type: Operative Report
Section: Complications
Target Entity: COPD
Negation: TRUE",Absent
"She has continued to have episodes of     [entity] pulmonary edema [entity] , with tachycardia and hypertension and was on lasix gtt    and IV nitro.",Present
IMPRESSION: No evidence of  [entity] cholecystitis [entity] .,Absent
Any significant hemodynamic instability may prompt an urgent evaluation for iatrogenic [ENTITY]GI bleeding[/ENTITY].,Hypothetical
"The heart is regular rate and rhythm, no  [entity] murmurs [entity] , rubs or gallops.",Absent
"The physical examination was notable for the absence of signs or symptoms suggestive of [ENTITY]end-stage renal disease[/ENTITY], with normal creatinine levels.",Absent
The patient's respiratory status was supported with [ENTITY]mechanical ventilation[/ENTITY] and the anesthesia team managed the ventilator settings throughout the surgery.,Present
"No signs or symptoms of [ENTITY]respiratory infection[/ENTITY] were noted during the patient's hospital stay, despite a fever of",Absent
We are concerned for the development of [ENTITY]balance issues[/ENTITY] if his hemodynamic instability persists throughout the night.,Hypothetical
"Ventilator settings were adjusted to manage the patient's [ENTITY]hypertensive[/ENTITY] crisis, which was accompanied by tachypnea and increased oxygen requirements.",Present
"Examination reveals intact motor function bilaterally, with the patient demonstrating no evidence of [ENTITY]asthenia[/ENTITY] or any other focal neurological deficits.",Absent
"After observation and IV fluids, the patient's abdominal pain improved significantly, and he reported a complete absence of any [ENTITY]nauseous feeling[/ENTITY].",Absent
"Laboratory results and clinical findings suggest that the patient's [ENTITY]COPD[/ENTITY] is contributing to their hypercapnia, with elevated PaCO",Present
Patient has a long-standing history of [ENTITY]DM[/ENTITY] with associated peripheral neuropathy and retinopathy.,Present
